n  ,algo   ,time                  ,comparisons
19 ,insert ,0.04029273986816406   ,        171
19 ,merge  ,0.0209808349609375    ,         58
19 ,hybrid ,0.017881393432617188  ,         62
20 ,insert ,0.04315376281738281   ,        190
20 ,merge  ,0.02193450927734375   ,         63
20 ,hybrid ,0.02002716064453125   ,         65
21 ,insert ,0.04696846008300781   ,        210
21 ,merge  ,0.02288818359375      ,         70
21 ,hybrid ,0.021219253540039062  ,         71
22 ,insert ,0.05817413330078125   ,        231
22 ,merge  ,0.025033950805664062  ,         72
22 ,hybrid ,0.02193450927734375   ,         75
23 ,insert ,0.06604194641113281   ,        253
23 ,merge  ,0.026226043701171875  ,         77
23 ,hybrid ,0.02384185791015625   ,         80
24 ,insert ,0.06604194641113281   ,        276
24 ,merge  ,0.027894973754882812  ,         85
24 ,hybrid ,0.025272369384765625  ,         87
25 ,insert ,0.06604194641113281   ,        300
25 ,merge  ,0.028848648071289062  ,         85
25 ,hybrid ,0.025033950805664062  ,         89
26 ,insert ,0.07796287536621094   ,        325
26 ,merge  ,0.030994415283203125  ,         93
26 ,hybrid ,0.026941299438476562  ,         98
27 ,insert ,0.09083747863769531   ,        351
27 ,merge  ,0.03218650817871094   ,         96
27 ,hybrid ,0.028848648071289062  ,        102
28 ,insert ,0.08702278137207031   ,        378
28 ,merge  ,0.03409385681152344   ,        105
28 ,hybrid ,0.030040740966796875  ,        110
29 ,insert ,0.08893013000488281   ,        406
29 ,merge  ,0.034809112548828125  ,        109
29 ,hybrid ,0.031232833862304688  ,        117
30 ,insert ,0.10395050048828125   ,        435
30 ,merge  ,0.03600120544433594   ,        111
30 ,hybrid ,0.030994415283203125  ,        121
31 ,insert ,0.11610984802246094   ,        465
31 ,merge  ,0.03695487976074219   ,        114
31 ,hybrid ,0.031948089599609375  ,        125
32 ,insert ,0.11968612670898438   ,        496
32 ,merge  ,0.04029273986816406   ,        118
32 ,hybrid ,0.03361701965332031   ,        128
33 ,insert ,0.1380443572998047    ,        528
33 ,merge  ,0.03981590270996094   ,        126
33 ,hybrid ,0.0362396240234375    ,        136
34 ,insert ,0.12111663818359375   ,        561
34 ,merge  ,0.04291534423828125   ,        133
34 ,hybrid ,0.03695487976074219   ,        142
35 ,insert ,0.13113021850585938   ,        595
35 ,merge  ,0.04291534423828125   ,        131
35 ,hybrid ,0.03719329833984375   ,        140
36 ,insert ,0.14400482177734375   ,        630
36 ,merge  ,0.04482269287109375   ,        138
36 ,hybrid ,0.03933906555175781   ,        145
37 ,insert ,0.1499652862548828    ,        666
37 ,merge  ,0.047206878662109375  ,        144
37 ,hybrid ,0.03981590270996094   ,        151
38 ,insert ,0.17213821411132812   ,        703
38 ,merge  ,0.04792213439941406   ,        155
38 ,hybrid ,0.04315376281738281   ,        159
39 ,insert ,0.1761913299560547    ,        741
39 ,merge  ,0.04982948303222656   ,        164
39 ,hybrid ,0.04410743713378906   ,        168
40 ,insert ,0.19407272338867188   ,        780
40 ,merge  ,0.051975250244140625  ,        164
40 ,hybrid ,0.04506111145019531   ,        167
41 ,insert ,0.19407272338867188   ,        820
41 ,merge  ,0.052928924560546875  ,        170
41 ,hybrid ,0.047206878662109375  ,        174
