Size of Array, Insertion Sort Time (ms), Merge Sort Time (ms), Hybrid Sort Time (ms)
371, 16.39, 1.34, 100.00
372, 16.43, 1.33, 100.00
373, 16.64, 1.37, 100.00
374, 16.70, 1.43, 100.00
375, 16.80, 1.35, 100.00
376, 16.24, 1.38, 100.00
377, 16.48, 1.41, 100.00
378, 17.37, 1.37, 100.00
379, 18.08, 1.38, 100.00
380, 16.76, 1.39, 100.00
381, 16.85, 1.38, 100.00
382, 17.48, 1.66, 100.00
383, 16.90, 1.40, 100.00
384, 17.78, 1.41, 100.00
385, 18.24, 1.53, 100.00
386, 18.07, 1.39, 100.00
387, 17.38, 1.40, 100.00
388, 17.55, 1.40, 100.00
389, 17.96, 1.41, 100.00
390, 18.23, 1.43, 100.00
391, 19.36, 1.68, 100.00
392, 18.07, 1.52, 100.00
393, 19.01, 1.44, 100.00
394, 17.92, 1.53, 100.00
395, 18.83, 1.49, 100.00
396, 20.20, 1.47, 100.00
397, 19.01, 1.49, 100.00
398, 18.55, 1.46, 100.00
399, 19.28, 1.45, 100.00
400, 18.93, 1.48, 100.00
401, 18.91, 1.48, 100.00
402, 19.13, 1.49, 100.00
403, 19.29, 1.49, 100.00
404, 19.90, 1.49, 100.00
405, 20.79, 1.50, 100.00
406, 20.87, 1.60, 100.00
407, 24.49, 1.97, 100.00
408, 20.37, 1.61, 100.00
409, 22.96, 1.55, 100.00
410, 26.65, 1.64, 100.00
411, 22.31, 1.60, 100.00
412, 20.06, 1.53, 100.00
413, 21.53, 1.52, 100.00
414, 20.72, 1.54, 100.00
415, 21.37, 1.65, 100.00
416, 21.47, 1.56, 100.00
417, 21.70, 1.58, 100.00
418, 20.66, 1.63, 100.00
419, 23.32, 1.58, 100.00
420, 21.53, 1.62, 100.00
421, 23.17, 1.63, 100.00
422, 30.21, 2.43, 100.00
423, 26.71, 1.75, 100.00
424, 22.44, 2.41, 100.00
425, 25.76, 1.59, 100.00
426, 21.17, 1.63, 100.00
427, 21.99, 1.82, 100.00
428, 22.28, 1.61, 100.00
429, 21.93, 1.66, 100.00
430, 21.49, 1.61, 100.00
431, 21.74, 1.86, 100.00
432, 22.59, 1.63, 100.00
433, 22.70, 1.62, 100.00
434, 22.65, 1.79, 100.00
435, 22.21, 1.77, 100.00
436, 22.36, 1.65, 100.00
437, 22.45, 1.72, 100.00
438, 22.91, 1.68, 100.00
439, 23.57, 1.70, 100.00
440, 22.81, 1.69, 100.00
441, 23.07, 1.68, 100.00
442, 23.71, 1.70, 100.00
443, 23.46, 1.72, 100.00
444, 23.65, 1.73, 100.00
445, 26.19, 1.87, 100.00
446, 25.97, 1.80, 100.00
447, 26.05, 1.86, 100.00
448, 28.53, 2.35, 100.00
449, 26.79, 1.86, 100.00
450, 31.89, 2.13, 100.00
451, 24.34, 1.75, 100.00
452, 24.39, 1.75, 100.00
453, 24.24, 1.70, 100.00
454, 25.13, 1.93, 100.00
455, 24.90, 1.78, 100.00
456, 26.56, 1.81, 100.00
457, 25.65, 1.76, 100.00
458, 26.10, 1.76, 100.00
459, 26.05, 1.82, 100.00
460, 26.29, 1.80, 100.00
461, 25.24, 1.74, 100.00
462, 27.36, 1.92, 100.00
463, 28.21, 1.78, 100.00
464, 32.18, 1.78, 100.00
465, 25.31, 1.83, 100.00
466, 29.00, 1.77, 100.00
467, 30.56, 1.77, 100.00
468, 26.76, 2.01, 100.00
469, 26.25, 1.89, 100.00
470, 25.96, 1.86, 100.00
471, 25.95, 1.79, 100.00
472, 26.93, 1.89, 100.00
473, 26.54, 1.89, 100.00
474, 26.99, 1.82, 100.00
475, 26.58, 1.81, 100.00
476, 25.96, 1.80, 100.00
477, 31.17, 1.84, 100.00
478, 26.72, 1.86, 100.00
479, 27.80, 1.90, 100.00
480, 27.16, 1.84, 100.00
481, 27.17, 1.86, 100.00
482, 27.67, 2.05, 100.00
483, 28.16, 1.91, 100.00
484, 28.45, 1.94, 100.00
485, 27.80, 1.93, 100.00
486, 28.82, 2.02, 100.00
487, 27.98, 1.98, 100.00
488, 29.62, 2.54, 100.00
489, 30.22, 1.97, 100.00
490, 28.39, 1.95, 100.00
491, 28.02, 1.94, 100.00
492, 28.86, 1.92, 100.00
493, 30.04, 2.03, 100.00
494, 32.93, 2.19, 100.00
495, 31.77, 2.44, 100.00
496, 32.86, 2.00, 100.00
497, 31.84, 2.01, 100.00
498, 32.11, 1.98, 100.00
499, 30.97, 2.03, 100.00
500, 30.67, 2.19, 100.00
501, 32.50, 2.20, 100.00
502, 33.16, 2.13, 100.00
503, 29.94, 1.99, 100.00
504, 30.80, 2.02, 100.00
505, 29.81, 1.95, 100.00
506, 30.98, 2.06, 100.00
507, 30.19, 2.03, 100.00
508, 30.21, 2.05, 100.00
509, 39.89, 2.95, 100.00
510, 31.60, 2.08, 100.00
511, 30.58, 2.07, 100.00
512, 31.39, 2.01, 100.00
513, 31.84, 2.04, 100.00
514, 30.86, 2.14, 100.00
515, 32.32, 2.04, 100.00
516, 32.46, 2.06, 100.00
517, 30.59, 2.05, 100.00
518, 32.49, 2.08, 100.00
519, 32.47, 2.08, 100.00
520, 32.53, 2.08, 100.00
521, 32.05, 2.21, 100.00
522, 31.82, 2.08, 100.00
523, 32.43, 2.14, 100.00
524, 32.30, 2.14, 100.00
525, 34.28, 2.14, 100.00
526, 33.82, 2.17, 100.00
527, 33.57, 2.18, 100.00
528, 32.77, 2.16, 100.00
529, 34.05, 2.17, 100.00
530, 33.22, 2.17, 100.00
531, 33.96, 2.14, 100.00
532, 34.11, 2.12, 100.00
533, 35.11, 2.17, 100.00
534, 33.62, 2.27, 100.00
535, 33.98, 2.21, 100.00
536, 35.10, 2.22, 100.00
537, 35.01, 2.15, 100.00
538, 35.55, 2.22, 100.00
539, 34.96, 2.19, 100.00
540, 40.91, 2.84, 100.00
541, 37.60, 2.65, 100.00
542, 40.91, 2.51, 100.00
543, 38.00, 2.22, 100.00
544, 34.23, 2.27, 100.00
545, 34.72, 2.38, 100.00
546, 35.88, 2.25, 100.00
547, 34.78, 2.28, 100.00
548, 36.49, 2.37, 100.00
549, 43.26, 3.48, 100.00
550, 43.55, 2.26, 100.00
551, 36.23, 2.39, 100.00
552, 40.47, 2.24, 100.00
553, 37.01, 2.34, 100.00
554, 36.18, 2.29, 100.00
555, 37.53, 2.29, 100.00
556, 36.54, 2.28, 100.00
557, 37.18, 2.24, 100.00
558, 37.12, 2.32, 100.00
559, 38.37, 2.31, 100.00
560, 37.14, 2.30, 100.00
561, 38.50, 2.36, 100.00
562, 38.63, 2.39, 100.00
563, 37.52, 2.34, 100.00
564, 37.85, 2.35, 100.00
565, 37.80, 2.39, 100.00
566, 39.13, 2.43, 100.00
567, 38.88, 2.46, 100.00
568, 38.55, 2.38, 100.00
569, 38.27, 2.37, 100.00
570, 37.93, 2.39, 100.00
571, 38.05, 2.45, 100.00
572, 38.72, 2.43, 100.00
573, 40.19, 2.44, 100.00
574, 39.03, 2.40, 100.00
575, 40.49, 2.49, 100.00
576, 40.17, 2.45, 100.00
577, 38.85, 2.43, 100.00
578, 39.35, 2.43, 100.00
579, 39.98, 2.47, 100.00
580, 40.29, 2.44, 100.00
581, 40.21, 2.49, 100.00
582, 39.72, 2.47, 100.00
583, 40.06, 2.41, 100.00
584, 40.50, 2.53, 100.00
585, 40.60, 2.50, 100.00
586, 45.45, 2.51, 100.00
587, 41.63, 2.49, 100.00
588, 42.64, 2.52, 100.00
