sizeOfArray,algo,time,comparisions
18258,hybrid,51.81002616882324,239277
18366,merge,54.225921630859375,237215
18366,hybrid,52.42514610290527,240726
18488,merge,54.54277992248535,239054
18488,hybrid,52.5209903717041,242454
18612,merge,55.0229549407959,240705
18612,hybrid,53.29394340515137,243916
18741,merge,56.62178993225098,242641
18741,hybrid,54.6269416809082,245726
18777,merge,55.845022201538086,243130
18777,hybrid,53.48014831542969,246212
18858,merge,55.844783782958984,244416
18858,hybrid,54.121971130371094,247412
18971,merge,56.82682991027832,245895
18971,hybrid,56.41603469848633,248783
19105,merge,57.08193778991699,248003
19105,hybrid,54.91518974304199,250765
19223,merge,57.02495574951172,249572
19223,hybrid,55.021047592163086,252198
19284,merge,57.086944580078125,250469
19284,hybrid,55.16195297241211,253056
19424,merge,57.6329231262207,252616
19424,hybrid,55.6330680847168,255008
19481,merge,58.20798873901367,253282
19481,hybrid,56.02908134460449,255677
19643,merge,58.715105056762695,255803
19643,hybrid,56.0612678527832,257990
19666,merge,58.84695053100586,256049
19666,hybrid,56.658029556274414,258174
19847,merge,61.554908752441406,258886
19847,hybrid,60.482025146484375,260844
19886,merge,60.160160064697266,259245
19886,hybrid,57.63578414916992,261209
19993,merge,60.51301956176758,260813
19993,hybrid,58.6698055267334,262647
20115,merge,61.04111671447754,262574
20115,hybrid,57.924747467041016,264339
20188,merge,60.247182846069336,263652
20188,hybrid,57.906150817871094,265308
20277,merge,61.57207489013672,264991
20277,hybrid,58.26592445373535,266585
20389,merge,61.06710433959961,266421
20389,hybrid,58.66718292236328,267877
20519,merge,61.63215637207031,268573
20519,hybrid,59.29708480834961,269955
20612,merge,62.11400032043457,269801
20612,hybrid,59.15474891662598,271187
20658,merge,61.988115310668945,270521
20658,hybrid,59.55767631530762,271921
20755,merge,62.39914894104004,272048
20755,hybrid,60.33468246459961,273485
20887,merge,62.65664100646973,273732
20887,hybrid,60.15300750732422,275287
21004,merge,63.6289119720459,275555
21004,hybrid,60.03618240356445,277090
21143,merge,64.19992446899414,277410
21143,hybrid,60.71186065673828,279049
21217,merge,64.38112258911133,278652
21217,hybrid,61.27190589904785,280276
21322,merge,64.52417373657227,280206
21322,hybrid,62.6370906829834,281826
