dimension,edges,isDirectional,minWeight,maxWeight,algo,time
5,10,False,0,50,dHeapNList,0.2200603485107422
5,10,False,0,50,dNormal,0.04291534423828125
6,15,False,0,50,dHeapNList,0.4992485046386719
6,15,False,0,50,dNormal,0.0629425048828125
7,20,False,0,50,dHeapNList,0.7960796356201172
7,20,False,0,50,dNormal,0.08296966552734375
8,28,False,0,50,dHeapNList,1.8241405487060547
8,28,False,0,50,dNormal,0.1342296600341797
9,36,False,0,50,dHeapNList,3.4720897674560547
9,36,False,0,50,dNormal,0.21195411682128906
10,45,False,0,50,dHeapNList,5.991935729980469
10,45,False,0,50,dNormal,0.30303001403808594
11,55,False,0,50,dHeapNList,10.241985321044922
11,55,False,0,50,dNormal,0.4830360412597656
12,66,False,0,50,dHeapNList,17.29607582092285
12,66,False,0,50,dNormal,0.7631778717041016
13,75,False,0,50,dHeapNList,17.543792724609375
13,75,False,0,50,dNormal,0.7119178771972656
14,87,False,0,50,dHeapNList,24.3990421295166
14,87,False,0,50,dNormal,0.9198188781738281
15,104,False,0,50,dHeapNList,35.7820987701416
15,104,False,0,50,dNormal,1.363992691040039
16,116,False,0,50,dHeapNList,44.90017890930176
16,116,False,0,50,dNormal,1.5308856964111328
17,132,False,0,50,dHeapNList,68.38011741638184
17,132,False,0,50,dNormal,2.187013626098633
18,150,False,0,50,dHeapNList,74.6450424194336
18,150,False,0,50,dNormal,2.9070377349853516
19,168,False,0,50,dHeapNList,118.46089363098145
19,168,False,0,50,dNormal,4.389762878417969
20,186,False,0,50,dHeapNList,116.95265769958496
20,186,False,0,50,dNormal,4.050970077514648
21,202,False,0,50,dHeapNList,142.10915565490723
21,202,False,0,50,dNormal,4.355907440185547
22,228,False,0,50,dHeapNList,181.3817024230957
22,228,False,0,50,dNormal,5.4759979248046875
23,248,False,0,50,dHeapNList,217.01502799987793
23,248,False,0,50,dNormal,6.459951400756836
24,273,False,0,50,dHeapNList,313.02380561828613
24,273,False,0,50,dNormal,9.500980377197266
25,297,False,0,50,dHeapNList,319.43583488464355
