dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
160,12720,False,1,50,heap,adjMatrix,19.17290687561035
160,12720,False,1,50,array,adjList,20.459890365600586
160,12720,False,1,50,array,adjMatrix,24.213075637817383
170,14365,False,1,50,heap,adjList,16.70217514038086
170,14365,False,1,50,heap,adjMatrix,20.983219146728516
170,14365,False,1,50,array,adjList,24.094104766845703
170,14365,False,1,50,array,adjMatrix,28.369903564453125
180,16110,False,1,50,heap,adjList,21.4846134185791
180,16110,False,1,50,heap,adjMatrix,23.092985153198242
180,16110,False,1,50,array,adjList,26.68905258178711
180,16110,False,1,50,array,adjMatrix,31.464338302612305
190,17955,False,1,50,heap,adjList,19.86408233642578
190,17955,False,1,50,heap,adjMatrix,24.990081787109375
190,17955,False,1,50,array,adjList,29.46186065673828
190,17955,False,1,50,array,adjMatrix,34.91830825805664
200,19900,False,1,50,heap,adjList,21.38495445251465
200,19900,False,1,50,heap,adjMatrix,27.27508544921875
200,19900,False,1,50,array,adjList,32.88698196411133
200,19900,False,1,50,array,adjMatrix,38.63930702209473
210,21945,False,1,50,heap,adjList,21.93307876586914
210,21945,False,1,50,heap,adjMatrix,28.809309005737305
210,21945,False,1,50,array,adjList,37.837982177734375
210,21945,False,1,50,array,adjMatrix,44.29793357849121
220,24090,False,1,50,heap,adjList,23.51999282836914
220,24090,False,1,50,heap,adjMatrix,30.303001403808594
220,24090,False,1,50,array,adjList,44.90494728088379
220,24090,False,1,50,array,adjMatrix,51.64313316345215
230,26335,False,1,50,heap,adjList,24.372100830078125
230,26335,False,1,50,heap,adjMatrix,32.03296661376953
230,26335,False,1,50,array,adjList,43.04814338684082
230,26335,False,1,50,array,adjMatrix,50.549983978271484
240,28680,False,1,50,heap,adjList,35.34221649169922
240,28680,False,1,50,heap,adjMatrix,43.99681091308594
240,28680,False,1,50,array,adjList,51.85389518737793
240,28680,False,1,50,array,adjMatrix,60.556888580322266
250,31125,False,1,50,heap,adjList,38.41996192932129
250,31125,False,1,50,heap,adjMatrix,47.65200614929199
250,31125,False,1,50,array,adjList,56.42080307006836
250,31125,False,1,50,array,adjMatrix,64.77093696594238
100,4950,False,1,50,heap,adjList,6.381750106811523
100,4950,False,1,50,heap,adjMatrix,7.839202880859375
100,4950,False,1,50,array,adjList,7.356882095336914
100,4950,False,1,50,array,adjMatrix,8.826017379760742
110,5995,False,1,50,heap,adjList,6.878137588500977
110,5995,False,1,50,heap,adjMatrix,8.730888366699219
110,5995,False,1,50,array,adjList,8.991003036499023
110,5995,False,1,50,array,adjMatrix,10.442972183227539
120,7140,False,1,50,heap,adjList,8.330345153808594
120,7140,False,1,50,heap,adjMatrix,10.010957717895508
120,7140,False,1,50,array,adjList,10.640144348144531
120,7140,False,1,50,array,adjMatrix,12.769937515258789
130,8385,False,1,50,heap,adjList,12.139081954956055
