dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
700,238315,False,0,38,heap,adjMatrix,272.7811336517334
700,238315,False,0,38,array,adjList,398.1897830963135
700,238315,False,0,38,array,adjMatrix,462.82005310058594
700,238595,False,0,39,heap,adjList,194.59080696105957
700,238595,False,0,39,heap,adjMatrix,264.77789878845215
700,238595,False,0,39,array,adjList,393.7268257141113
700,238595,False,0,39,array,adjMatrix,469.1648483276367
700,238678,False,0,40,heap,adjList,197.29876518249512
700,238678,False,0,40,heap,adjMatrix,268.6038017272949
700,238678,False,0,40,array,adjList,400.53701400756836
700,238678,False,0,40,array,adjMatrix,467.3159122467041
700,238749,False,0,41,heap,adjList,196.54607772827148
700,238749,False,0,41,heap,adjMatrix,267.41695404052734
700,238749,False,0,41,array,adjList,407.60087966918945
700,238749,False,0,41,array,adjMatrix,478.7471294403076
700,238912,False,0,42,heap,adjList,200.27494430541992
700,238912,False,0,42,heap,adjMatrix,272.71175384521484
700,238912,False,0,42,array,adjList,424.34191703796387
700,238912,False,0,42,array,adjMatrix,493.2670593261719
700,239158,False,0,43,heap,adjList,200.94990730285645
700,239158,False,0,43,heap,adjMatrix,272.02916145324707
700,239158,False,0,43,array,adjList,402.41503715515137
700,239158,False,0,43,array,adjMatrix,470.33095359802246
700,239267,False,0,44,heap,adjList,205.20591735839844
700,239267,False,0,44,heap,adjMatrix,272.9971408843994
700,239267,False,0,44,array,adjList,424.6079921722412
700,239267,False,0,44,array,adjMatrix,496.3948726654053
700,239193,False,0,45,heap,adjList,202.49414443969727
700,239193,False,0,45,heap,adjMatrix,271.9228267669678
700,239193,False,0,45,array,adjList,401.44801139831543
700,239193,False,0,45,array,adjMatrix,476.72581672668457
700,239404,False,0,46,heap,adjList,197.15094566345215
700,239404,False,0,46,heap,adjMatrix,268.6929702758789
700,239404,False,0,46,array,adjList,432.0371150970459
700,239404,False,0,46,array,adjMatrix,502.78282165527344
700,239605,False,0,47,heap,adjList,197.48497009277344
700,239605,False,0,47,heap,adjMatrix,288.0377769470215
700,239605,False,0,47,array,adjList,420.8488464355469
700,239605,False,0,47,array,adjMatrix,493.7429428100586
700,239751,False,0,48,heap,adjList,218.55497360229492
700,239751,False,0,48,heap,adjMatrix,271.2388038635254
700,239751,False,0,48,array,adjList,423.4621524810791
700,239751,False,0,48,array,adjMatrix,486.6478443145752
700,239693,False,0,49,heap,adjList,218.4441089630127
700,239693,False,0,49,heap,adjMatrix,269.9427604675293
700,239693,False,0,49,array,adjList,419.56114768981934
700,239693,False,0,49,array,adjMatrix,490.9799098968506
700,239888,False,0,50,heap,adjList,223.89817237854004
700,239888,False,0,50,heap,adjMatrix,274.80316162109375
700,239888,False,0,50,array,adjList,436.8298053741455
700,239888,False,0,50,array,adjMatrix,508.9099407196045
700,0,False,0,0,heap,adjList,0.0040531158447265625
700,0,False,0,0,heap,adjMatrix,0.041961669921875
700,0,False,0,0,array,adjList,0.0019073486328125
700,0,False,0,0,array,adjMatrix,0.04482269287109375
700,122310,False,0,1,heap,adjList,222.76997566223145
700,122310,False,0,1,heap,adjMatrix,274.5828628540039
700,122310,False,0,1,array,adjList,54.18109893798828
700,122310,False,0,1,array,adjMatrix,105.04388809204102
700,163785,False,0,2,heap,adjList,169.20113563537598
700,163785,False,0,2,heap,adjMatrix,228.06596755981445
700,163785,False,0,2,array,adjList,96.24791145324707
700,163785,False,0,2,array,adjMatrix,153.85699272155762
700,183243,False,0,3,heap,adjList,161.00502014160156
700,183243,False,0,3,heap,adjMatrix,222.08189964294434
700,183243,False,0,3,array,adjList,133.42618942260742
700,183243,False,0,3,array,adjMatrix,199.63812828063965
700,195619,False,0,4,heap,adjList,157.5160026550293
700,195619,False,0,4,heap,adjMatrix,225.07500648498535
700,195619,False,0,4,array,adjList,160.5362892150879
700,195619,False,0,4,array,adjMatrix,222.57399559020996
700,203806,False,0,5,heap,adjList,187.16692924499512
700,203806,False,0,5,heap,adjMatrix,260.21599769592285
700,203806,False,0,5,array,adjList,187.67976760864258
700,203806,False,0,5,array,adjMatrix,253.63612174987793
700,209804,False,0,6,heap,adjList,201.02381706237793
700,209804,False,0,6,heap,adjMatrix,263.83495330810547
700,209804,False,0,6,array,adjList,203.77087593078613
700,209804,False,0,6,array,adjMatrix,284.1801643371582
700,214373,False,0,7,heap,adjList,208.5886001586914
700,214373,False,0,7,heap,adjMatrix,274.60193634033203
